Gross Annual Income,Weekly Savings under new Scheme at 33.00%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
2k,7/w,38/w,30/w
3k,11/w,57/w,46/w
4k,15/w,76/w,61/w
5k,18/w,96/w,77/w
6k,22/w,115/w,92/w
7k,26/w,134/w,108/w
8k,30/w,153/w,123/w
9k,33/w,173/w,139/w
10k,37/w,192/w,154/w
11k,41/w,211/w,170/w
12k,45/w,230/w,185/w
13k,48/w,250/w,201/w
14k,52/w,269/w,216/w
15k,56/w,288/w,232/w
16k,60/w,307/w,247/w
17k,63/w,326/w,263/w
18k,67/w,346/w,278/w
19k,71/w,365/w,294/w
20k,75/w,384/w,309/w
21k,72/w,397/w,325/w
22k,69/w,410/w,340/w
23k,67/w,423/w,356/w
24k,64/w,436/w,371/w
25k,62/w,449/w,387/w
26k,59/w,461/w,402/w
27k,56/w,474/w,417/w
28k,54/w,487/w,433/w
29k,51/w,500/w,448/w
30k,49/w,513/w,464/w
31k,46/w,526/w,479/w
32k,43/w,539/w,495/w
33k,41/w,552/w,510/w
34k,38/w,565/w,526/w
35k,36/w,577/w,541/w
36k,33/w,590/w,557/w
37k,30/w,603/w,572/w
38k,28/w,616/w,588/w
39k,126/w,629/w,502/w
40k,126/w,642/w,515/w
41k,126/w,655/w,528/w
42k,126/w,668/w,541/w
43k,126/w,680/w,554/w
44k,126/w,693/w,566/w
45k,126/w,706/w,579/w
46k,126/w,719/w,592/w
47k,126/w,732/w,605/w
48k,126/w,745/w,618/w
49k,126/w,758/w,631/w
50k,126/w,771/w,644/w
51k,126/w,784/w,657/w
52k,126/w,796/w,669/w
53k,126/w,809/w,682/w
54k,126/w,822/w,695/w
55k,126/w,835/w,708/w
56k,126/w,848/w,721/w
57k,126/w,861/w,734/w
58k,126/w,874/w,747/w
59k,126/w,887/w,760/w
60k,126/w,900/w,773/w
61k,197/w,912/w,715/w
62k,198/w,925/w,727/w
63k,199/w,938/w,739/w
64k,200/w,951/w,750/w
65k,201/w,964/w,762/w
66k,203/w,977/w,774/w
67k,204/w,990/w,785/w
68k,205/w,1003/w,797/w
69k,206/w,1015/w,809/w
70k,207/w,1028/w,821/w
71k,208/w,1041/w,832/w
72k,209/w,1054/w,844/w
73k,211/w,1067/w,856/w
74k,212/w,1080/w,868/w
75k,213/w,1093/w,879/w
76k,214/w,1106/w,891/w
77k,215/w,1119/w,903/w
78k,216/w,1131/w,915/w
79k,218/w,1144/w,926/w
80k,219/w,1157/w,938/w
81k,220/w,1170/w,950/w
82k,221/w,1183/w,961/w
83k,222/w,1196/w,973/w
84k,223/w,1209/w,985/w
85k,224/w,1222/w,997/w
86k,226/w,1234/w,1008/w
87k,227/w,1247/w,1020/w
88k,228/w,1260/w,1032/w
89k,229/w,1273/w,1044/w
90k,230/w,1286/w,1055/w
91k,231/w,1299/w,1067/w
92k,233/w,1312/w,1079/w
93k,234/w,1325/w,1090/w
94k,235/w,1338/w,1102/w
95k,236/w,1350/w,1114/w
96k,237/w,1363/w,1126/w
97k,238/w,1376/w,1137/w
98k,240/w,1389/w,1149/w
99k,241/w,1402/w,1161/w
100k,242/w,1415/w,1173/w
101k,243/w,1428/w,1184/w
102k,244/w,1441/w,1196/w
103k,245/w,1454/w,1208/w
104k,246/w,1466/w,1220/w
105k,248/w,1479/w,1231/w
106k,249/w,1492/w,1243/w
107k,250/w,1505/w,1255/w
108k,251/w,1518/w,1266/w
109k,252/w,1531/w,1278/w
110k,253/w,1544/w,1290/w
111k,255/w,1557/w,1302/w
112k,256/w,1570/w,1313/w
113k,257/w,1582/w,1325/w
114k,258/w,1595/w,1337/w
115k,259/w,1608/w,1349/w
116k,260/w,1621/w,1360/w
117k,261/w,1634/w,1372/w
118k,263/w,1647/w,1384/w
119k,264/w,1660/w,1395/w
