Gross Annual Income,Weekly Savings under new Scheme at 45.00%,Weekly Income under new scheme,Weekly Income under old scheme
1k,3/w,19/w,15/w
2k,7/w,38/w,30/w
3k,11/w,57/w,46/w
4k,15/w,76/w,61/w
5k,18/w,96/w,77/w
6k,22/w,115/w,92/w
7k,26/w,134/w,108/w
8k,30/w,153/w,123/w
9k,33/w,173/w,139/w
10k,37/w,192/w,154/w
11k,41/w,211/w,170/w
12k,45/w,230/w,185/w
13k,48/w,250/w,201/w
14k,52/w,269/w,216/w
15k,56/w,288/w,232/w
16k,60/w,307/w,247/w
17k,63/w,326/w,263/w
18k,67/w,346/w,278/w
19k,71/w,365/w,294/w
20k,75/w,384/w,309/w
21k,70/w,395/w,325/w
22k,65/w,405/w,340/w
23k,60/w,416/w,356/w
24k,55/w,426/w,371/w
25k,50/w,437/w,387/w
26k,45/w,448/w,402/w
27k,40/w,458/w,417/w
28k,35/w,469/w,433/w
29k,30/w,479/w,448/w
30k,25/w,490/w,464/w
31k,21/w,500/w,479/w
32k,16/w,511/w,495/w
33k,11/w,522/w,510/w
34k,6/w,532/w,526/w
35k,1/w,543/w,541/w
36k,-3/w,553/w,557/w
37k,-8/w,564/w,572/w
38k,-13/w,575/w,588/w
39k,83/w,585/w,502/w
40k,80/w,596/w,515/w
41k,78/w,606/w,528/w
42k,76/w,617/w,541/w
43k,73/w,627/w,554/w
44k,71/w,638/w,566/w
45k,69/w,649/w,579/w
46k,66/w,659/w,592/w
47k,64/w,670/w,605/w
48k,62/w,680/w,618/w
49k,60/w,691/w,631/w
50k,57/w,701/w,644/w
51k,55/w,712/w,657/w
52k,53/w,723/w,669/w
53k,50/w,733/w,682/w
54k,48/w,744/w,695/w
55k,46/w,754/w,708/w
56k,43/w,765/w,721/w
57k,41/w,775/w,734/w
58k,39/w,786/w,747/w
59k,36/w,797/w,760/w
60k,34/w,807/w,773/w
61k,102/w,818/w,715/w
62k,101/w,828/w,727/w
63k,100/w,839/w,739/w
64k,99/w,850/w,750/w
65k,98/w,860/w,762/w
66k,96/w,871/w,774/w
67k,95/w,881/w,785/w
68k,94/w,892/w,797/w
69k,93/w,902/w,809/w
70k,92/w,913/w,821/w
71k,91/w,924/w,832/w
72k,90/w,934/w,844/w
73k,88/w,945/w,856/w
74k,87/w,955/w,868/w
75k,86/w,966/w,879/w
76k,85/w,976/w,891/w
77k,84/w,987/w,903/w
78k,83/w,998/w,915/w
79k,81/w,1008/w,926/w
80k,80/w,1019/w,938/w
81k,79/w,1029/w,950/w
82k,78/w,1040/w,961/w
83k,77/w,1050/w,973/w
84k,76/w,1061/w,985/w
85k,74/w,1072/w,997/w
86k,73/w,1082/w,1008/w
87k,72/w,1093/w,1020/w
88k,71/w,1103/w,1032/w
89k,70/w,1114/w,1044/w
90k,69/w,1125/w,1055/w
91k,68/w,1135/w,1067/w
92k,66/w,1146/w,1079/w
93k,65/w,1156/w,1090/w
94k,64/w,1167/w,1102/w
95k,63/w,1177/w,1114/w
96k,62/w,1188/w,1126/w
97k,61/w,1199/w,1137/w
98k,60/w,1209/w,1149/w
99k,58/w,1220/w,1161/w
100k,57/w,1230/w,1173/w
101k,56/w,1241/w,1184/w
102k,55/w,1251/w,1196/w
103k,54/w,1262/w,1208/w
104k,53/w,1273/w,1220/w
105k,51/w,1283/w,1231/w
106k,50/w,1294/w,1243/w
107k,49/w,1304/w,1255/w
108k,48/w,1315/w,1266/w
109k,47/w,1325/w,1278/w
110k,46/w,1336/w,1290/w
111k,45/w,1347/w,1302/w
112k,43/w,1357/w,1313/w
113k,42/w,1368/w,1325/w
114k,41/w,1378/w,1337/w
115k,40/w,1389/w,1349/w
116k,39/w,1400/w,1360/w
117k,38/w,1410/w,1372/w
118k,36/w,1421/w,1384/w
119k,35/w,1431/w,1395/w
120k,34/w,1442/w,1407/w
121k,33/w,1452/w,1419/w
122k,32/w,1463/w,1431/w
123k,31/w,1474/w,1442/w
124k,30/w,1484/w,1454/w
125k,28/w,1495/w,1466/w
126k,27/w,1505/w,1478/w
127k,26/w,1516/w,1489/w
128k,25/w,1526/w,1501/w
129k,24/w,1537/w,1513/w
130k,23/w,1548/w,1525/w
131k,21/w,1558/w,1536/w
132k,20/w,1569/w,1548/w
133k,19/w,1579/w,1560/w
134k,18/w,1590/w,1571/w
135k,17/w,1600/w,1583/w
136k,16/w,1611/w,1595/w
137k,15/w,1622/w,1607/w
138k,13/w,1632/w,1618/w
139k,12/w,1643/w,1630/w
140k,11/w,1653/w,1642/w
141k,10/w,1664/w,1654/w
142k,9/w,1675/w,1665/w
143k,8/w,1685/w,1677/w
144k,6/w,1696/w,1689/w
145k,5/w,1706/w,1700/w
146k,4/w,1717/w,1712/w
147k,3/w,1727/w,1724/w
148k,2/w,1738/w,1736/w
149k,1/w,1749/w,1747/w
150k,0/w,1759/w,1759/w
151k,-1/w,1770/w,1771/w
152k,-2/w,1780/w,1783/w
153k,-3/w,1791/w,1794/w
154k,-4/w,1801/w,1806/w
155k,-5/w,1812/w,1818/w
156k,-6/w,1823/w,1830/w
157k,-8/w,1833/w,1841/w
158k,-9/w,1844/w,1853/w
159k,-10/w,1854/w,1865/w
160k,-11/w,1865/w,1876/w
161k,-12/w,1875/w,1888/w
162k,-13/w,1886/w,1900/w
163k,-15/w,1897/w,1912/w
164k,-16/w,1907/w,1923/w
165k,-17/w,1918/w,1935/w
166k,-18/w,1928/w,1947/w
167k,-19/w,1939/w,1959/w
168k,-20/w,1950/w,1970/w
169k,-21/w,1960/w,1982/w
170k,-23/w,1971/w,1994/w
171k,-24/w,1981/w,2005/w
172k,-25/w,1992/w,2017/w
173k,-26/w,2002/w,2029/w
174k,-27/w,2013/w,2041/w
175k,-28/w,2024/w,2052/w
176k,-30/w,2034/w,2064/w
177k,-31/w,2045/w,2076/w
178k,-32/w,2055/w,2088/w
179k,-33/w,2066/w,2099/w
180k,-34/w,2076/w,2111/w
181k,-35/w,2087/w,2123/w
182k,-36/w,2098/w,2135/w
183k,-38/w,2108/w,2146/w
184k,-39/w,2119/w,2158/w
185k,-40/w,2129/w,2170/w
186k,-41/w,2140/w,2181/w
187k,-42/w,2150/w,2193/w
188k,-43/w,2161/w,2205/w
189k,-45/w,2172/w,2217/w
190k,-46/w,2182/w,2228/w
191k,-47/w,2193/w,2240/w
192k,-48/w,2203/w,2252/w
193k,-49/w,2214/w,2264/w
194k,-50/w,2225/w,2275/w
195k,-51/w,2235/w,2287/w
196k,-53/w,2246/w,2299/w
197k,-54/w,2256/w,2310/w
198k,-55/w,2267/w,2322/w
199k,-56/w,2277/w,2334/w
200k,-57/w,2288/w,2346/w
201k,-58/w,2299/w,2357/w
202k,-60/w,2309/w,2369/w
203k,-61/w,2320/w,2381/w
204k,-62/w,2330/w,2393/w
205k,-63/w,2341/w,2404/w
206k,-64/w,2351/w,2416/w
207k,-65/w,2362/w,2428/w
208k,-66/w,2373/w,2440/w
209k,-68/w,2383/w,2451/w
210k,-69/w,2394/w,2463/w
211k,-70/w,2404/w,2475/w
212k,-71/w,2415/w,2486/w
213k,-72/w,2425/w,2498/w
214k,-73/w,2436/w,2510/w
215k,-75/w,2447/w,2522/w
216k,-76/w,2457/w,2533/w
217k,-77/w,2468/w,2545/w
218k,-78/w,2478/w,2557/w
219k,-79/w,2489/w,2569/w
220k,-80/w,2500/w,2580/w
221k,-81/w,2510/w,2592/w
222k,-83/w,2521/w,2604/w
223k,-84/w,2531/w,2615/w
224k,-85/w,2542/w,2627/w
225k,-86/w,2552/w,2639/w
226k,-87/w,2563/w,2651/w
227k,-88/w,2574/w,2662/w
228k,-90/w,2584/w,2674/w
229k,-91/w,2595/w,2686/w
230k,-92/w,2605/w,2698/w
231k,-93/w,2616/w,2709/w
232k,-94/w,2626/w,2721/w
233k,-95/w,2637/w,2733/w
234k,-96/w,2648/w,2745/w
235k,-98/w,2658/w,2756/w
236k,-99/w,2669/w,2768/w
237k,-100/w,2679/w,2780/w
238k,-101/w,2690/w,2791/w
239k,-102/w,2700/w,2803/w
240k,-103/w,2711/w,2815/w
241k,-105/w,2722/w,2827/w
242k,-106/w,2732/w,2838/w
243k,-107/w,2743/w,2850/w
244k,-108/w,2753/w,2862/w
245k,-109/w,2764/w,2874/w
246k,-110/w,2775/w,2885/w
247k,-111/w,2785/w,2897/w
248k,-113/w,2796/w,2909/w
249k,-114/w,2806/w,2920/w
250k,-115/w,2817/w,2932/w
251k,-116/w,2827/w,2944/w
252k,-117/w,2838/w,2956/w
253k,-118/w,2849/w,2967/w
254k,-120/w,2859/w,2979/w
255k,-121/w,2870/w,2991/w
256k,-122/w,2880/w,3003/w
257k,-123/w,2891/w,3014/w
258k,-124/w,2901/w,3026/w
259k,-125/w,2912/w,3038/w
260k,-126/w,2923/w,3050/w
261k,-128/w,2933/w,3061/w
262k,-129/w,2944/w,3073/w
263k,-130/w,2954/w,3085/w
264k,-131/w,2965/w,3096/w
265k,-132/w,2975/w,3108/w
266k,-133/w,2986/w,3120/w
267k,-135/w,2997/w,3132/w
268k,-136/w,3007/w,3143/w
269k,-137/w,3018/w,3155/w
270k,-138/w,3028/w,3167/w
271k,-139/w,3039/w,3179/w
272k,-140/w,3050/w,3190/w
273k,-141/w,3060/w,3202/w
274k,-143/w,3071/w,3214/w
275k,-144/w,3081/w,3225/w
276k,-145/w,3092/w,3237/w
277k,-146/w,3102/w,3249/w
278k,-147/w,3113/w,3261/w
279k,-148/w,3124/w,3272/w
280k,-150/w,3134/w,3284/w
281k,-151/w,3145/w,3296/w
282k,-152/w,3155/w,3308/w
283k,-153/w,3166/w,3319/w
284k,-154/w,3176/w,3331/w
285k,-155/w,3187/w,3343/w
286k,-156/w,3198/w,3355/w
287k,-158/w,3208/w,3366/w
288k,-159/w,3219/w,3378/w
289k,-160/w,3229/w,3390/w
290k,-161/w,3240/w,3401/w
291k,-162/w,3250/w,3413/w
292k,-163/w,3261/w,3425/w
293k,-165/w,3272/w,3437/w
294k,-166/w,3282/w,3448/w
295k,-167/w,3293/w,3460/w
296k,-168/w,3303/w,3472/w
297k,-169/w,3314/w,3484/w
298k,-170/w,3325/w,3495/w
